,review title,job title,job location,date,description,pros,cons
587,Safe Workplace,Process Supervisor,Rustenburg NW,"March 4, 2015","Productive and Safe Workplace. Innovative, Collaboration, Integrity and Profitable. We put safety first and train every employee. Interacting with people of different ethnic.",#VALUE!,#VALUE!
589,"√ ""last company",HR Analyst,Fields Goytacazes RJ,"February 26, 2015","Company DINA ¢ mica, where times much autonomy. Good working environment and well-defined culture. Very good company to work where we have a lot of freedom to put our Ida © ias and Stocks and Ratios in pr√°tica.",benef√cios good.,"Lacks a £ Gesta the costs on the part of employees and managers, feeling neg√≥cio owner."
590,working environment,English teacher,"M√ © xico, DF","February 24, 2015",They let you work and give your classes freely following your plannings and programs.,Trust in t,I do read the Bible at 6 MAA ± ana
591,worked as acontractoe for ten years,lab technician,"Johannesburg, GP","February 23, 2015","good workin enviroment.learnt a lot of things in my working field,aquired a number of certificates,but no personal growth",canteen,8 hrs
592,Excellent company in minera√ß√ branch of the £.,Technical Planning Manuten√ß√ £ II,"Concei√ß√ £ Within the Mato, MG","February 20, 2015","I have the opportunity to learn a lot every day, the company provides me with all that I exer√ßaa Conditions for my £ fun√ß√ safely and the quality on my di√°rias tasks, have an excellent team, trained people trained and who came from other large companies in the branch minera√ß√ £ oe which is the £ been improving ever mais.tenho proud to be part of this group.","Benefits, salary, PPR, the agreement more © physician and dental.",Distance gives family.
593,little communication,special cargo escort driver,"Santiago de Chile, RM","February 19, 2015",It is a very demanding company on the issue of staff safety and environment perhaps missing regulate some valences but is within the standards,#VALUE!,#VALUE!
594,Excellen and enjoyable,WATER CHEMIST,"Witbank, MP","February 18, 2015",I understand the importance of water and scaricityWater in our country.I apply all the water laws to comply with the requarments of water use.Good in water resource management.Working togerther with people understand the purposeOf water and danger of untreated water to communityAnd environment.Hardest part complaince about poor quality of waterEnjoyable part when custormers happy about water andNo complaince.,#VALUE!,#VALUE!
595,productive. workplace where time management is important,systems support engineer,"Northam, LP","February 16, 2015","early start time. learnt to interact with people of different levels, from underground miners to top general managers, prioritizing calls. management is generally particular with time and accuracy to avoid errors that ultimately can cause a breach in safety. the hard part was trying to bring change in systems to people who are used to old systems but the most enjoyable part was striving to get those people tounderstand the need for change.",#VALUE!,#VALUE!
596,Good company to work for with poor management at time.,Safety Officer,Rustenburg NW,"February 13, 2015",Too much meeting and to lest time in the field to complete the legal work. Good working environment. Too much senior staff that all want to give orders. Good team relationship,Good medical aid and pension,Management.
597,I learned a lot in this company,Administrative assistant,"Concei√ß√ £ Within the Mato, MG","February 13, 2015",Company mudan√ßa of pr√ © -opera√ß√ the £ for £ opera√ß√ o.Trabalho team. (Many times in the £ happened) I had an excellent coordinator.,excellent company minera√ß√ £ o,I worked in the mine √°rea.
598,Productictive and challengin workplace,Payroll Officer,Rustenburg NW,"February 11, 2015",Always BusyLearned to work under pressure and as a teamCaring for thie employeesCost closing days are the mos hardest days as i have to work extra hours but i learned to work under pressure.Socialising with employees and getting recognition for my work,Recognition for my work,Long hours especially month end
599,company focused on the welfare of the employee,labor nursing technician,"Barro Alto, GO","February 8, 2015",* Ork in agradevel team where everyone respects your work * limita√ßoes run however pleasurable to do * learned a lot about the routines of worker health * super competent dire√ßao seeks the best all p * to program each employee to perform tests according to its Report Song and risk exposure * teamwork one always willing to coloaborar with fellow pa that work is successful,It offers worth alimenta√ßao,for it is a epmpresa providing up Service not always the alimenta√ßao and agradevel
